Accident Year,Calendar Year,Reported Salvage and Subrogation,Received Salvage and Subrogation,Reported Claims,Paid Claims
1998,1998,713000,312000,2412000,1991000
1998,1999,781000,735000,2862000,2858000
1998,2000,771000,766000,2864000,2861000
1998,2001,770000,770000,2864000,2864000
1998,2002,785000,770000,2864000,2864000
1998,2003,793000,770000,2864000,2864000
1998,2004,793000,793000,2864000,2864000
1998,2005,793000,793000,2864000,2864000
1998,2006,793000,793000,2864000,2864000
1998,2007,793000,793000,2864000,2864000
1998,2008,1328000,793000,2864000,2864000
1999,1999,1369000,704000,4225000,3558000
1999,2000,1361000,1324000,4677000,4666000
1999,2001,1360000,1360000,4695000,4694000
1999,2002,1360000,1360000,4696000,4696000
1999,2003,1360000,1360000,4697000,4697000
1999,2004,1360000,1360000,4697000,4697000
1999,2005,1360000,1360000,4697000,4697000
1999,2006,1360000,1360000,4697000,4697000
1999,2007,1360000,1360000,4697000,4697000
1999,2008,2180000,1360000,4697000,4697000
2000,2000,2432000,951000,6968000,5718000
2000,2001,2423000,2356000,7879000,7869000
2000,2002,2424000,2407000,7896000,7893000
2000,2003,2421000,2421000,7900000,7900000
2000,2004,2421000,2421000,7901000,7901000
2000,2005,2421000,2421000,7902000,7902000
2000,2006,2421000,2421000,7902000,7902000
2000,2007,2421000,2421000,7902000,7902000
2000,2008,3314000,2421000,7902000,7902000
2001,2001,3674000,2101000,9063000,7967000
2001,2002,3656000,3591000,10277000,10253000
2001,2003,3637000,3619000,10314000,10307000
2001,2004,3635000,3635000,10318000,10317000
2001,2005,3637000,3635000,10318000,10317000
2001,2006,3637000,3637000,10318000,10318000
2001,2007,3637000,3637000,10319000,10319000
2001,2008,3807000,3637000,10319000,10319000
2002,2002,4092000,2251000,9982000,8745000
2002,2003,4085000,4023000,11115000,11076000
2002,2004,4088000,4082000,11136000,11126000
2002,2005,4084000,4084000,11138000,11134000
2002,2006,4085000,4084000,11139000,11136000
2002,2007,4091000,4084000,11139000,11136000
2002,2008,3807000,4090000,11137000,11137000
2003,2003,4092000,2122000,11396000,9658000
2003,2004,4085000,4264000,12493000,12459000
2003,2005,4088000,4317000,12508000,12500000
2003,2006,4084000,4321000,12527000,12526000
2003,2007,4085000,4360000,12526000,12526000
2003,2008,4091000,4365000,12527000,12526000
2004,2004,4805000,2602000,12878000,11088000
2004,2005,5166000,5100000,14505000,14466000
2004,2006,5162000,5156000,14540000,14503000
2004,2007,5163000,5157000,14544000,14505000
2004,2008,5160000,5160000,14552000,14521000
2005,2005,5387000,3279000,15181000,13518000
2005,2006,5735000,5666000,16815000,16775000
2005,2007,5731000,5731000,16834000,16827000
2005,2008,5731000,5731000,16837000,16837000
2006,2006,5337000,3104000,15117000,13322000
2006,2007,5752000,5493000,16953000,16872000
2006,2008,5715000,5655000,16945000,16942000
2007,2007,5590000,2863000,15092000,13191000
2007,2008,6031000,5957000,16862000,16822000
2008,2008,5414000,2710000,14727000,12889000
