Accident Year,Calendar Year,Paid Claims,Reported Claims
1999,1999,470000,1011000
1999,2000,865000,1254000
1999,2001,1124000,1377000
1999,2002,1300000,1454000
1999,2003,1400000,1477000
1999,2004,1446000,1493000
1999,2005,1469000,1500000
1999,2006,1477000,1500000
1999,2007,1492000,1500000
1999,2008,1500000,1500000
2000,2000,493500,1061550
2000,2001,908250,1316700
2000,2002,1180200,1445850
2000,2003,1365000,1526700
2000,2004,1470000,1550850
2000,2005,1518300,1567650
2000,2006,1542450,1575000
2000,2007,1550850,1575000
2000,2008,1566600,1575000
2001,2001,518175,1114628
2001,2002,953663,1382535
2001,2003,1239210,1518143
2001,2004,1433250,1603035
2001,2005,1543500,1628393
2001,2006,1594215,1646033
2001,2007,1619573,1653750
2001,2008,1628393,1653750
2002,2002,544084,1170359
2002,2003,1001346,1451662
2002,2004,1301171,1594050
2002,2005,1504913,1683187
2002,2006,1620675,1709812
2002,2007,1673926,1728334
2002,2008,1700551,1736438
2003,2003,571288,1228877
2003,2004,1051413,1524245
2003,2005,1366229,1673752
2003,2006,1580158,1767346
2003,2007,1701709,1795303
2003,2008,1757622,1814751
2004,2004,599852,1290321
2004,2005,1103984,1600457
2004,2006,1434540,1757440
2004,2007,1659166,1855713
2004,2008,1786794,1885068
2005,2005,629845,1354837
2005,2006,1159183,1680480
2005,2007,1506268,1845312
2005,2008,1742124,1948499
2006,2006,661337,1422579
2006,2007,1217142,1764504
2006,2008,1581581,1937577
2007,2007,694404,1493707
2008,2008,1277999,1852729
2008,2008,729124,1568393
